N  S_wide  S_narrow
100 0.87499224 0.93750000
600 0.97221360 0.95208333
1100 0.87499224 0.97272727
1600 1.06335862 0.93203125
2100 0.91665853 0.92976190
2600 0.91986363 0.94230769
3100 0.98162211 0.95725806
3600 0.94520766 0.94479167
4100 0.95561483 0.95640244
4600 0.92148941 0.94483696
5100 0.95124428 0.94509804
5600 0.92533901 0.95781250
6100 0.88136741 0.94323770
6600 0.94864478 0.94318182
7100 0.97358291 0.93978873
7600 0.92104446 0.93914474
8100 0.94940859 0.94768519
8600 0.93942965 0.94970930
9100 0.89208610 0.94835165
9600 0.92360292 0.94791667
10100 0.95199925 0.95160891
10600 0.98505415 0.94716981
11100 1.00374485 0.95022523
11600 0.99903328 0.94784483
12100 0.96016136 0.93801653
12600 0.97067040 0.93571429
13100 0.94623842 0.94141221
13600 0.93790017 0.93639706
14100 0.97221360 0.94769504
14600 1.00550858 0.94871575
15100 0.90460934 0.94718543
15600 0.94853147 0.94663462
16100 0.93235888 0.94433230
16600 0.91657487 0.94073795
17100 0.94833467 0.95029240
17600 0.94846065 0.94360795
18100 0.93568844 0.94136740
18600 0.94764691 0.94657258
19100 0.92843853 0.94496073
19600 0.94046785 0.93941327
20100 0.94754549 0.94732587
20600 0.94200890 0.94459951
21100 0.94548924 0.93981043
21600 0.95330944 0.94658565
22100 0.94933798 0.94892534
22600 0.95285536 0.94203540
23100 0.93728125 0.94134199
23600 0.95285171 0.95132415
24100 0.94599207 0.94802905
24600 0.93348314 0.94420732
25100 0.96872757 0.94790837
25600 0.95512390 0.94926758
26100 0.94390393 0.94980843
26600 0.94955298 0.94887218
27100 0.95068857 0.95138376
27600 0.96411182 0.94755435
28100 0.94072910 0.94630783
28600 0.95351718 0.94519231
29100 0.93780191 0.94613402
29600 0.93017193 0.93923142
30100 0.95412590 0.94132060
30600 0.94711396 0.94554739
31100 0.94001488 0.94541801
31600 0.94636994 0.94232595
32100 0.94495527 0.94100467
32600 0.94418044 0.94559049
33100 0.96957011 0.95147281
33600 0.95253784 0.94255952
34100 0.94854975 0.94703079
34600 0.91264444 0.94226879
35100 0.95670250 0.94864672
35600 0.93698451 0.94799860
36100 0.93020104 0.94532548
36600 0.95733820 0.93989071
37100 0.97221360 0.94811321
37600 0.96368087 0.94547872
38100 0.95766867 0.94589895
38600 0.95962016 0.93886010
39100 0.93044074 0.94232737
39600 0.93587834 0.94472854
40100 0.94893866 0.94354738
40600 0.96287460 0.94267241
41100 0.96464405 0.94659367
41600 0.94720714 0.94498197
42100 0.95604852 0.94260689
