stream_id,step_idx,prefix_len,true_F0,estimate_N
0,0,10000,7274,7213.006072
0,1,20000,14509,14437.836137
0,2,30000,21690,21452.768302
0,3,40000,28883,28587.489425
0,4,50000,36021,35679.799700
0,5,60000,43121,43401.579973
0,6,70000,50316,50996.291671
0,7,80000,57469,58611.152661
0,8,90000,64599,65626.610029
0,9,100000,71749,72945.078679
1,0,10000,7325,7149.500924
1,1,20000,14523,14160.743654
1,2,30000,21715,21471.004137
1,3,40000,28878,28896.049350
1,4,50000,36013,35985.653168
1,5,60000,43098,43031.456555
1,6,70000,50231,50162.537904
1,7,80000,57401,57146.906937
1,8,90000,64571,64866.420444
1,9,100000,71728,72643.021107
2,0,10000,7236,7319.095456
2,1,20000,14480,14142.758125
2,2,30000,21765,21271.102880
2,3,40000,28978,28635.482951
2,4,50000,36155,36057.575483
2,5,60000,43386,43012.837059
2,6,70000,50563,49673.060461
2,7,80000,57635,56361.931126
2,8,90000,64769,63865.604663
2,9,100000,71798,71110.349179
3,0,10000,7309,7403.552056
3,1,20000,14583,14832.658926
3,2,30000,21789,22392.602855
3,3,40000,29040,29656.875610
3,4,50000,36238,36998.677392
3,5,60000,43445,44585.650446
3,6,70000,50643,51789.180918
3,7,80000,57796,57644.998036
3,8,90000,64923,64657.255466
3,9,100000,72098,72309.989331
4,0,10000,7327,7283.426145
4,1,20000,14573,14432.171654
4,2,30000,21836,21645.672663
4,3,40000,28975,28356.858029
4,4,50000,36154,35611.629824
4,5,60000,43244,42235.692565
4,6,70000,50441,49299.143778
4,7,80000,57604,57598.394698
4,8,90000,64710,65146.370819
4,9,100000,71875,72590.725062
5,0,10000,7326,7471.154491
5,1,20000,14536,14638.252022
5,2,30000,21737,21835.800984
5,3,40000,28921,28119.114303
5,4,50000,36104,35313.327043
5,5,60000,43180,42283.205323
5,6,70000,50311,49259.192768
5,7,80000,57558,57328.840660
5,8,90000,64671,64839.165200
5,9,100000,71805,72011.217758
6,0,10000,7231,7283.426145
6,1,20000,14429,14748.480515
6,2,30000,21641,21566.426902
6,3,40000,28855,29062.734896
6,4,50000,35963,36934.750417
6,5,60000,43161,44383.461740
6,6,70000,50310,50881.604920
6,7,80000,57418,57767.613110
6,8,90000,64581,65008.812515
6,9,100000,71720,72969.795468
7,0,10000,7361,7452.606535
7,1,20000,14597,14512.702444
7,2,30000,21782,21618.679443
7,3,40000,29070,29329.666191
7,4,50000,36241,36877.731368
7,5,60000,43414,43694.384466
7,6,70000,50526,50788.268261
7,7,80000,57677,57951.760006
7,8,90000,64849,64755.324640
7,9,100000,71953,71655.721407
8,0,10000,7269,7361.106080
8,1,20000,14458,14729.237480
8,2,30000,21624,22245.480375
8,3,40000,28857,29420.491741
8,4,50000,36040,37402.479271
8,5,60000,43204,44755.582377
8,6,70000,50392,52153.469728
8,7,80000,57547,59768.077974
8,8,90000,64671,67769.662010
8,9,100000,71881,75271.268661
9,0,10000,7391,7283.426145
9,1,20000,14613,14597.834285
9,2,30000,21850,21331.393626
9,3,40000,28968,28516.411282
9,4,50000,36110,35700.948643
9,5,60000,43240,42799.999259
9,6,70000,50499,49441.614791
9,7,80000,57658,56439.934239
9,8,90000,64758,63416.745355
9,9,100000,71933,70715.736949
10,0,10000,7234,7355.078118
10,1,20000,14467,14538.850290
10,2,30000,21661,21736.526691
10,3,40000,28866,29327.356735
10,4,50000,36038,36325.113612
10,5,60000,43232,43741.089153
10,6,70000,50373,50536.548645
10,7,80000,57522,58058.584404
10,8,90000,64745,65211.703845
10,9,100000,71846,71614.761875
11,0,10000,7238,7172.479946
11,1,20000,14494,14999.343334
11,2,30000,21723,22192.726583
11,3,40000,28947,29634.663252
11,4,50000,36192,37256.761119
11,5,60000,43412,44703.818092
11,6,70000,50584,51779.327842
11,7,80000,57738,58536.699912
11,8,90000,64925,65727.006594
11,9,100000,72041,73125.475544
12,0,10000,7328,7289.349501
12,1,20000,14519,14746.775399
12,2,30000,21696,21723.390719
12,3,40000,28872,29159.614554
12,4,50000,36117,35998.570419
12,5,60000,43279,42098.130962
12,6,70000,50473,49780.425954
12,7,80000,57635,57520.781891
12,8,90000,64827,65090.782206
12,9,100000,71902,72145.860331
13,0,10000,7324,7301.221973
13,1,20000,14510,14525.611055
13,2,30000,21673,21416.519564
13,3,40000,28819,29104.277075
13,4,50000,36056,36011.331750
13,5,60000,43249,43594.066590
13,6,70000,50424,50992.270690
13,7,80000,57562,58442.413054
13,8,90000,64673,65470.789581
13,9,100000,71822,72095.039474
14,0,10000,7373,7373.188685
14,1,20000,14674,14779.821478
14,2,30000,21902,21729.859953
14,3,40000,29150,29503.643334
14,4,50000,36346,36588.388260
14,5,60000,43466,44010.634321
14,6,70000,50649,50759.080894
14,7,80000,57778,58243.023392
14,8,90000,64915,65203.454625
14,9,100000,72062,72599.026876
15,0,10000,7314,7343.048740
15,1,20000,14459,14215.753105
15,2,30000,21688,21486.210197
15,3,40000,28863,28903.239698
15,4,50000,36094,36771.224910
15,5,60000,43281,44498.671468
