n,t5,t10,t15,t20,t30,t50
500,31,28,27,25,25,23
600,37,33,32,29,29,26
700,46,44,40,39,76,31
800,55,50,46,45,41,38
900,61,55,51,50,46,46
1000,80,62,127,118,58,53
1100,79,71,71,64,64,59
1200,174,158,71,143,69,63
1300,94,86,84,80,76,71
1400,106,101,92,92,84,77
1500,116,109,99,99,91,84
1600,127,116,106,105,96,90
1700,133,122,112,112,107,93
1800,133,123,116,114,161,109
1900,155,130,120,195,114,114
2000,162,149,139,132,132,120
2100,164,151,151,138,138,128
2200,177,162,161,182,147,135
2300,168,165,162,148,151,145
2400,242,172,173,153,152,142
2500,187,180,173,171,163,152
2600,208,193,174,162,156,146
2700,204,192,183,180,171,158
2800,211,213,188,188,172,161
2900,226,211,194,189,175,164
3000,235,215,196,195,187,181
3100,238,221,210,207,191,181
3200,262,239,221,220,199,197
3300,264,245,228,224,212,202
3400,266,251,231,228,216,210
3500,286,264,245,242,227,220
3600,278,254,234,244,219,219
3700,295,272,249,250,238,238
3800,314,281,261,267,227,232
3900,309,290,275,259,251,250
4000,325,295,275,259,261,243
4100,321,297,296,272,266,250
4200,331,309,303,281,276,259
4300,359,316,316,282,291,260
4400,364,311,311,289,285,268
4500,353,328,329,305,306,285
4600,374,349,340,316,316,288
4700,370,347,346,313,320,299
4800,382,362,355,331,315,297
4900,393,361,359,330,329,310
5000,412,378,380,355,350,329
5100,411,371,369,348,345,325
5200,414,390,379,355,345,334
5300,418,393,384,380,359,339
5400,436,408,393,387,381,352
5500,497,432,410,409,374,359
5600,464,447,422,424,384,368
5700,492,471,440,438,396,379
5800,486,467,436,431,387,372
5900,495,469,434,445,401,382
6000,512,498,462,459,403,388
6100,535,474,440,466,416,398
6200,539,511,470,472,433,390
6300,562,518,475,485,453,428
6400,552,513,481,476,445,427
6500,568,519,476,475,458,442
6600,565,520,483,484,439,435
6700,551,522,484,477,448,445
6800,585,547,505,507,470,478
6900,594,546,505,498,468,466
7000,601,560,522,544,477,478
7100,586,581,537,526,493,487
7200,598,565,517,521,478,478
7300,620,569,516,514,484,481
7400,633,589,542,545,505,507
7500,643,625,570,542,516,530
7600,667,584,549,541,507,505
7700,673,634,582,580,537,532
7800,678,630,602,583,555,536
7900,699,633,611,588,585,550
8000,701,667,635,610,613,561
8100,709,660,647,608,608,571
8200,708,664,681,628,623,590
8300,694,652,645,604,596,564
8400,731,672,669,623,622,584
8500,741,677,677,629,629,588
8600,749,699,696,635,628,589
8700,742,706,706,657,655,621
8800,765,712,713,664,665,613
8900,776,739,740,680,686,638
9000,776,737,745,681,669,636
9100,809,756,746,697,694,651
9200,798,746,716,669,691,637
9300,807,779,776,721,705,666
9400,792,741,738,685,689,647
9500,838,768,764,721,721,688
9600,845,815,764,727,721,671
9700,869,811,816,754,722,685
9800,856,796,774,718,725,696
9900,851,807,819,754,748,701
10000,886,807,799,752,746,702
10100,864,814,812,768,732,696
10200,865,804,810,752,747,701
10300,909,852,850,797,789,746
10400,892,840,810,777,745,714
10500,935,899,881,834,792,746
10600,964,904,887,857,814,776
10700,938,887,850,849,794,759
10800,927,875,854,849,794,793
10900,1016,978,901,885,827,792
11000,979,939,892,889,868,776
11100,954,915,868,864,806,767
11200,988,953,902,902,804,770
11300,1049,1008,922,944,864,802
11400,1004,979,896,902,841,799
11500,1043,1003,929,922,874,814
11600,1088,1046,989,951,861,837
11700,1097,1039,974,993,885,806
11800,1095,1012,933,936,893,857
11900,1105,1030,947,975,889,850
12000,1141,1078,1012,996,930,897
12100,1144,1050,1015,1000,930,872
12200,1095,1051,962,983,897,840
12300,1140,1063,1006,1006,937,896
12400,1178,1083,1008,1009,945,900
12500,1193,1066,1021,1010,950,907
12600,1176,1103,1028,1018,945,910
12700,1216,1131,1061,1056,996,946
12800,1237,1107,1020,1017,939,917
12900,1228,1152,1059,1039,977,955
13000,1207,1122,1060,1055,991,969
13100,1266,1120,1060,1061,979,957
13200,1231,1160,1069,1067,980,972
13300,1257,1163,1090,1097,1030,1033
13400,1261,1177,1082,1080,1016,1007
13500,1216,1140,1070,1066,1002,1014
13600,1289,1170,1091,1083,996,987
13700,1242,1188,1074,1065,999,1001
13800,1275,1236,1156,1091,1023,1022
13900,1270,1195,1123,1109,1037,1050
14000,1332,1192,1129,1131,1059,1052
14100,1338,1239,1162,1161,1091,1078
14200,1290,1216,1157,1122,1054,1055
14300,1296,1204,1121,1123,1052,1050
14400,1377,1280,1200,1208,1136,1134
14500,1337,1241,1157,1157,1099,1093
14600,1367,1254,1186,1135,1069,1067
14700,1347,1271,1192,1188,1096,1090
14800,1386,1300,1210,1211,1153,1162
14900,1377,1284,1180,1164,1093,1090
15000,1382,1281,1188,1210,1138,1161
15100,1368,1260,1181,1182,1109,1104
15200,1370,1323,1242,1245,1158,1202
15300,1432,1330,1250,1277,1204,1204
15400,1476,1339,1271,1232,1155,1180
15500,1408,1322,1242,1223,1174,1148
15600,1453,1352,1297,1267,1232,1214
15700,1397,1361,1301,1264,1240,1196
15800,1592,1339,1307,1273,1287,1211
15900,1492,1388,1362,1343,1308,1232
16000,1497,1397,1366,1294,1320,1211
16100,1482,1386,1374,1289,1281,1190
16200,1512,1422,1403,1324,1541,1368
16300,1541,1375,1384,1295,1328,1267
16400,1548,1454,1406,1309,1319,1234
16500,1514,1492,1512,1402,1329,1249
16600,1533,1408,1407,1329,1368,1271
16700,1546,1418,1419,1327,1530,1260
16800,1555,1464,1454,1320,1312,1225
16900,1548,1429,1453,1379,1370,1307
17000,1523,1440,1445,1357,1398,1275
17100,1568,1490,1489,1392,1424,1370
17200,1562,1471,1504,1423,1389,1342
17300,1594,1474,1506,1415,1408,1329
17400,1629,1492,1488,1434,1405,1323
17500,1683,1567,1549,1409,1409,1333
17600,1685,1572,1569,1471,1419,1323
17700,1693,1548,1474,1381,1384,1300
17800,1667,1534,1496,1415,1442,1340
17900,1674,1572,1578,1442,1471,1391
18000,1635,1561,1542,1447,1464,1343
18100,1694,1546,1536,1442,1441,1360
18200,1734,1590,1577,1583,1473,1368
18300,1716,1588,1551,1435,1440,1409
18400,1667,1537,1538,1489,1433,1354
18500,1686,1608,1627,1522,1518,1422
18600,1680,1618,1656,1506,1520,1381
18700,1781,1584,1582,1484,1465,1389
18800,1807,1607,1811,1641,1517,1412
18900,1813,1640,1614,1510,1508,1437
19000,1793,1673,1635,1500,1488,1405
19100,1729,1611,1613,1508,1516,1425
19200,1842,1687,1700,1562,1562,1466
19300,1764,1666,1702,1538,1538,1481
19400,1834,1668,1680,1518,1532,1437
19500,1878,1744,1744,1561,1550,1471
19600,1865,1750,1739,1623,1573,1491
