n,t5,t10,t15,t20,t30,t50
500,44,41,40,40,39,41
600,54,51,49,50,49,54
700,67,63,60,59,97,168
800,103,76,71,70,72,81
900,90,85,82,80,84,84
1000,161,97,184,180,188,97
1100,117,111,109,106,105,110
1200,129,185,222,228,182,124
1300,142,136,133,133,130,140
1400,158,153,146,143,144,152
1500,234,165,158,156,157,172
1600,189,178,171,168,168,183
1700,201,190,183,181,182,324
1800,201,193,188,186,188,194
1900,226,208,201,199,207,205
2000,246,226,223,220,216,217
2100,251,239,236,231,229,235
2200,266,252,249,244,261,252
2300,262,251,281,257,276,262
2400,311,313,268,275,291,272
2500,287,276,286,321,280,333
2600,319,312,301,279,275,287
2700,310,295,296,287,285,299
2800,324,314,302,297,305,311
2900,344,337,315,320,312,339
3000,359,339,326,337,334,346
3100,380,363,350,342,344,374
3200,387,372,358,365,367,394
3300,407,385,366,375,373,368
3400,407,400,380,386,384,373
3500,425,407,386,385,390,387
3600,437,412,406,394,408,403
3700,470,440,422,423,424,421
3800,473,444,440,439,434,433
3900,480,459,449,436,445,442
4000,493,464,467,449,448,466
4100,499,475,469,463,457,474
4200,509,485,487,473,471,484
4300,532,509,519,488,497,496
4400,547,513,513,496,496,515
4500,555,531,527,523,518,539
4600,563,544,533,525,520,543
4700,583,554,547,538,537,561
4800,590,567,580,555,553,579
4900,611,576,570,568,562,584
5000,623,601,589,577,575,605
5100,631,601,597,586,594,615
5200,649,623,613,604,603,634
5300,667,657,632,629,627,668
5400,679,658,637,634,625,665
5500,713,691,668,654,672,687
5600,735,694,676,663,660,689
5700,736,710,679,672,668,709
5800,748,725,701,695,705,731
5900,763,738,717,702,695,740
6000,783,755,721,734,745,775
6100,811,775,750,760,727,785
6200,811,778,756,754,756,802
6300,830,794,765,759,762,827
6400,845,813,777,774,770,828
6500,856,822,803,797,821,857
6600,881,843,830,820,801,814
6700,892,850,816,807,808,802
6800,901,870,838,832,836,832
6900,914,877,844,839,848,842
7000,925,890,861,853,857,861
7100,946,911,865,884,865,852
7200,941,911,872,870,892,888
7300,959,921,883,876,880,885
7400,967,930,895,890,892,892
7500,982,944,931,925,956,956
7600,1029,967,931,924,933,933
7700,1021,986,945,940,958,948
7800,1035,998,971,959,980,957
7900,1051,1010,995,976,979,991
8000,1086,1038,1016,994,1000,1041
8100,1083,1040,1027,1011,991,1023
8200,1093,1049,1051,1021,1019,1053
8300,1102,1057,1053,1032,1027,1052
8400,1116,1073,1067,1037,1041,1068
8500,1151,1106,1102,1063,1051,1072
8600,1168,1105,1106,1072,1060,1088
8700,1160,1122,1112,1080,1079,1096
8800,1181,1139,1127,1098,1113,1168
8900,1188,1148,1137,1099,1098,1129
9000,1200,1162,1166,1128,1127,1173
9100,1214,1169,1161,1131,1122,1154
9200,1225,1197,1214,1178,1155,1195
9300,1266,1207,1199,1170,1163,1209
9400,1262,1221,1218,1187,1183,1204
9500,1272,1224,1220,1202,1186,1215
9600,1298,1275,1254,1225,1198,1241
9700,1298,1262,1252,1224,1223,1255
9800,1316,1275,1269,1254,1232,1286
9900,1342,1292,1279,1250,1247,1300
10000,1356,1326,1333,1280,1273,1336
10100,1360,1315,1307,1306,1266,1312
10200,1368,1326,1331,1292,1290,1354
10300,1373,1334,1322,1288,1282,1330
10400,1406,1372,1364,1342,1313,1369
10500,1427,1388,1370,1358,1330,1388
10600,1449,1404,1389,1374,1361,1409
10700,1475,1427,1402,1394,1358,1447
10800,1472,1462,1422,1419,1421,1551
10900,1497,1467,1439,1424,1415,1493
11000,1513,1473,1442,1435,1446,1535
11100,1529,1490,1454,1447,1405,1481
11200,1544,1503,1469,1467,1477,1511
11300,1577,1531,1488,1481,1469,1553
11400,1592,1546,1501,1498,1478,1532
11500,1610,1566,1519,1512,1498,1591
11600,1623,1597,1553,1569,1534,1612
11700,1697,1584,1543,1546,1530,1584
11800,1656,1609,1578,1568,1584,1749
11900,1668,1610,1607,1576,1575,1684
