n,t5,t10,t15,t20,t30,t50
500,28,29,31,34,34,44
600,34,36,37,44,43,60
700,43,42,45,45,120,143
800,51,50,55,55,69,99
900,58,57,65,64,82,82
1000,138,63,154,161,116,94
1100,73,73,73,83,82,110
1200,136,182,160,201,93,125
1300,87,91,92,103,109,148
1400,96,96,101,101,120,164
1500,107,105,112,112,135,278
1600,113,112,121,119,144,203
1700,124,121,128,128,157,190
1800,125,142,140,148,163,169
1900,138,127,142,142,186,185
2000,146,148,169,156,155,198
2100,152,152,158,168,168,214
2200,157,160,159,241,188,236
2300,161,164,177,195,192,254
2400,172,201,174,212,208,266
2500,171,217,179,209,209,272
2600,194,201,189,200,209,277
2700,191,193,198,192,227,297
2800,196,196,199,201,232,322
2900,208,197,210,203,239,331
3000,218,207,213,224,262,360
3100,222,206,220,223,265,365
3200,248,233,243,238,274,393
3300,238,246,263,262,327,296
3400,245,239,258,268,324,307
3500,257,248,276,269,333,316
3600,264,245,281,280,329,337
3700,268,275,298,298,346,352
3800,290,277,293,286,380,365
3900,280,274,310,310,347,380
4000,294,293,308,320,320,411
4100,295,292,293,333,328,416
4200,304,304,305,335,332,415
4300,328,333,318,342,340,452
4400,333,316,313,353,347,444
4500,329,335,335,377,382,465
4600,353,355,346,378,378,485
4700,350,364,360,390,388,504
4800,355,367,359,396,414,523
4900,376,357,355,398,401,523
5000,362,368,370,430,420,554
5100,367,388,388,428,432,566
5200,386,384,387,421,435,583
5300,392,400,400,426,473,595
5400,409,398,403,403,457,612
5500,453,429,433,444,483,635
5600,429,415,420,419,487,656
5700,445,438,443,450,505,677
5800,438,432,459,453,535,685
5900,473,463,472,467,532,724
6000,474,461,476,490,556,749
6100,483,461,463,474,567,803
6200,506,483,509,512,604,774
6300,508,476,499,516,598,809
6400,518,502,522,522,604,830
6500,522,517,550,547,699,667
6600,533,542,562,518,616,607
6700,536,503,520,521,621,625
6800,532,539,571,571,648,646
6900,536,524,568,566,693,668
7000,568,561,585,589,669,656
7100,581,536,601,596,701,705
7200,575,560,600,589,726,726
7300,599,571,583,584,694,700
7400,559,554,588,590,707,712
7500,573,594,635,611,772,751
7600,603,591,619,612,754,752
7700,613,611,646,647,748,768
7800,614,611,639,649,737,773
7900,652,645,673,708,714,824
8000,616,655,643,678,673,867
8100,654,654,655,683,685,870
8200,653,642,641,709,714,895
8300,676,684,679,727,714,875
8400,663,665,667,701,718,888
8500,671,663,664,710,712,877
8600,695,686,689,745,731,916
8700,684,689,688,735,735,920
8800,710,714,717,786,767,949
8900,721,737,737,780,773,960
9000,725,737,712,800,802,959
9100,746,747,748,778,782,1007
9200,722,760,747,810,848,994
9300,761,768,770,829,829,1080
9400,759,784,770,843,837,1044
9500,754,786,785,873,846,1081
9600,800,802,776,857,834,1070
9700,813,829,833,888,896,1084
9800,817,812,815,884,882,1111
9900,822,842,841,920,904,1149
10000,816,826,847,908,910,1191
10100,831,859,866,946,909,1177
10200,817,851,857,904,904,1174
10300,847,854,863,925,937,1187
10400,829,884,852,901,928,1204
10500,861,891,894,934,977,1258
10600,900,888,919,924,972,1271
10700,903,899,924,914,1002,1275
10800,876,881,911,923,1093,1512
10900,941,938,931,904,1035,1376
11000,893,884,908,903,1068,1351
11100,932,892,915,918,1014,1339
11200,946,913,951,929,1020,1347
11300,966,943,975,982,1071,1402
11400,935,919,952,946,1075,1408
11500,981,959,1008,1000,1070,1447
11600,1011,995,1033,1026,1133,1494
11700,1024,966,1022,1016,1138,1474
11800,991,975,1042,1044,1253,1751
11900,1016,971,1010,1026,1195,1599
12000,1048,1016,1067,1055,1199,1622
12100,1053,1023,1070,1072,1236,1627
12200,1040,987,1012,1079,1179,1537
12300,1051,1003,1063,1060,1236,1678
12400,1067,1033,1066,1049,1241,1578
12500,1074,1077,1112,1082,1317,1686
12600,1063,1036,1121,1115,1297,1757
12700,1119,1076,1141,1131,1294,1761
12800,1128,1094,1142,1101,1231,1671
12900,1112,1080,1146,1148,1341,1633
13000,1090,1040,1106,1115,1257,1347
13100,1154,1054,1196,1173,1326,1310
13200,1124,1071,1181,1187,1374,1296
13300,1158,1115,1178,1178,1336,1333
13400,1143,1136,1171,1157,1375,1357
13500,1144,1095,1180,1177,1395,1405
13600,1190,1145,1181,1178,1349,1344
13700,1157,1159,1243,1226,1385,1372
13800,1213,1166,1235,1197,1407,1414
13900,1221,1167,1226,1231,1419,1399
14000,1220,1136,1231,1222,1419,1404
14100,1201,1144,1268,1270,1473,1416
14200,1210,1170,1262,1261,1445,1447
14300,1210,1166,1273,1257,1441,1451
14400,1234,1196,1301,1328,1555,1549
14500,1210,1179,1339,1339,1675,1552
14600,1267,1226,1342,1293,1556,1548
14700,1248,1236,1345,1333,1494,1497
14800,1266,1234,1339,1338,1604,1589
14900,1311,1261,1319,1324,1536,1532
15000,1282,1254,1323,1328,1546,1544
15100,1265,1232,1345,1337,1604,1543
15200,1298,1279,1364,1386,1600,1650
15300,1333,1292,1370,1406,1638,1637
15400,1341,1304,1371,1376,1587,1640
15500,1318,1284,1389,1385,1596,1605
15600,1358,1331,1417,1470,1592,1705
15700,1305,1304,1342,1407,1506,1749
15800,1436,1291,1351,1548,1517,1694
15900,1357,1331,1382,1463,1628,1761
16000,1351,1297,1341,1426,1418,1751
16100,1359,1321,1366,1529,1513,1784
16200,1377,1340,1381,1490,2900,1777
16300,1382,1347,1326,1487,1492,1730
16400,1393,1379,1393,1548,1556,1760
16500,1401,1653,1428,1684,1586,1830
16600,1428,1389,1394,1536,1558,1819
16700,1440,1421,1393,1536,1556,1850
16800,1432,1440,1399,1527,1543,1800
16900,1420,1441,1434,1547,1552,1929
17000,1435,1414,1421,1560,1574,1831
17100,1438,1433,1401,1552,1614,1926
17200,1477,1466,1432,1561,1598,1909
17300,1447,1448,1425,1575,1590,1886
17400,1520,1521,1518,1688,1639,1973
17500,1540,1523,1527,1654,1649,1946
17600,1555,1544,1563,1652,1598,1924
17700,1507,1482,1510,1622,1610,1949
17800,1526,1485,1451,1662,1678,1956
17900,1529,1488,1486,1653,1648,2013
18000,1506,1489,1506,1701,1732,2052
18100,1542,1512,1513,1690,1697,2020
18200,1609,1574,1586,1862,1820,2111
18300,1565,1582,1516,1707,1686,2088
18400,1582,1550,1549,1756,1694,2063
18500,1558,1586,1525,1729,1728,2096
18600,1584,1547,1549,1771,1775,2081
18700,1617,1569,1604,1727,1724,2119
18800,1661,1543,1543,1765,1847,2231
18900,1679,1681,1639,1796,1794,2264
19000,1597,1612,1634,1766,1765,2158
19100,1583,1593,1621,1813,1789,2184
19200,1662,1636,1653,1843,1842,2246
19300,1644,1629,1622,1817,1815,2330
19400,1664,1657,1609,1858,1836,2252
19500,1698,1687,1670,1870,1871,2285
19600,1689,1673,1676,1886,1865,2304
19700,1637,1668,1656,1876,1871,2405
19800,1722,1746,1757,1954,1957,2390
19900,1660,1676,1671,1904,1872,2323
20000,1696,1671,1675,1879,1880,2347
20100,1752,1759,1725,1895,1989,5967
20200,1726,1939,1725,1928,1923,2365
20300,1794,1756,1728,1976,1980,2437
20400,1761,1769,1748,1970,1981,2439
20500,1693,1734,1721,1971,1982,2432
20600,1810,1756,1694,1907,1958,2437
20700,1744,1761,1756,1964,1999,2472
20800,1843,1845,1740,1880,2041,2473
20900,1857,1855,1815,1926,2081,2538
21000,1796,1829,1786,1895,2105,2532
21100,1787,1845,1790,1946,2250,2583
21200,1872,1816,1882,1954,2084,2615
21300,1880,1843,1800,1847,2152,2594
21400,1873,1915,1797,1824,2058,2577
21500,1892,1822,1825,1844,2139,2642
21600,1952,1855,1795,1805,2067,2627
21700,1934,1893,1901,1904,2145,2661
21800,1857,1865,1934,1903,2105,2649
21900,1907,1926,1977,1966,2179,3120
22000,1967,1828,1856,1859,2126,2676
22100,2048,1911,1888,1865,2237,2788
22200,1917,1964,1913,1914,2195,2727
22300,2025,1944,1964,1897,2247,2745
22400,2013,1922,1900,1877,2183,2872
22500,2031,1981,2009,1934,2331,3000
