n,time_us
500,52
600,63
700,76
800,90
900,104
1000,118
1100,128
1200,143
1300,160
1400,175
1500,189
1600,205
1700,218
1800,235
1900,248
2000,264
2100,276
2200,297
2300,307
2400,340
2500,326
2600,352
2700,344
2800,366
2900,394
3000,399
3100,410
3200,432
3300,451
3400,470
3500,481
3600,497
3700,501
3800,532
3900,526
4000,558
4100,572
4200,586
4300,604
4400,607
4500,625
4600,646
4700,671
4800,682
4900,690
5000,718
5100,735
5200,751
5300,766
5400,784
5500,792
5600,791
5700,807
5800,814
5900,843
6000,854
6100,876
6200,903
6300,918
6400,918
6500,942
6600,969
6700,997
6800,974
6900,992
7000,1018
7100,1032
7200,1022
7300,1041
7400,1070
7500,1079
7600,1132
7700,1133
7800,1149
7900,1147
8000,1181
8100,1192
8200,1219
8300,1228
8400,1256
8500,1278
8600,1259
8700,1276
8800,1305
8900,1341
9000,1340
9100,1378
9200,1377
9300,1394
9400,1400
9500,1451
9600,1435
9700,1439
9800,1467
9900,1496
10000,1514
10100,1514
10200,1571
10300,1547
10400,1608
10500,1591
10600,1616
10700,1635
10800,1625
10900,1665
11000,1674
11100,1694
11200,1719
11300,1729
11400,1722
11500,1800
11600,1798
11700,1832
11800,1771
11900,1895
12000,1829
12100,1862
12200,1857
12300,1887
12400,1893
12500,1954
12600,1923
12700,1977
12800,2011
12900,1925
13000,2038
13100,2027
13200,2045
13300,2051
13400,2070
13500,2099
13600,2155
13700,2120
13800,2160
13900,2147
14000,2212
14100,2219
14200,2237
14300,2221
14400,2227
14500,2283
14600,2320
14700,2311
14800,2353
14900,2359
15000,2350
15100,2364
15200,2394
15300,2565
15400,2416
15500,2377
15600,2419
15700,2402
15800,2411
15900,2462
16000,2573
16100,2509
16200,2531
16300,2758
16400,2581
16500,2598
16600,2706
16700,2687
16800,2570
16900,2638
17000,2708
17100,2716
17200,2769
17300,2716
17400,2732
17500,2776
17600,2766
17700,2803
17800,2836
17900,2841
18000,2865
18100,2879
18200,2906
18300,3038
18400,2982
18500,2921
18600,2975
18700,2930
18800,2971
18900,2991
19000,3034
19100,3029
19200,3025
19300,3078
19400,3131
19500,3099
19600,3192
19700,3132
19800,3165
19900,3142
20000,3206
20100,3204
20200,10323
20300,3272
20400,3331
20500,3274
20600,3347
20700,3301
20800,3351
20900,3363
21000,3335
21100,3390
21200,3441
21300,3403
21400,3426
21500,3475
21600,3480
21700,3491
21800,3506
21900,3513
22000,3525
22100,3558
22200,3586
22300,3583
22400,3606
22500,3599
22600,3686
22700,3702
22800,3752
22900,3693
23000,3785
23100,3782
23200,3761
23300,3739
23400,3793
23500,3827
23600,3853
23700,3890
23800,3947
23900,3925
24000,3947
24100,3995
24200,3961
24300,3993
24400,3948
24500,3994
24600,4031
24700,3996
24800,4039
24900,4147
25000,4113
25100,4120
25200,4215
25300,4149
25400,4218
25500,4183
25600,4209
25700,4202
25800,4254
25900,4280
26000,4296
26100,4475
26200,4279
26300,4484
26400,4770
26500,4360
26600,4410
26700,4420
26800,4549
26900,4436
27000,4492
27100,4448
27200,4647
27300,4407
27400,4612
27500,4598
27600,4619
27700,4529
27800,4580
27900,4568
28000,4589
28100,4723
28200,4668
28300,4647
28400,4687
28500,4651
28600,4661
28700,4745
28800,4650
28900,4813
29000,4785
29100,4904
29200,4843
29300,4808
29400,4830
29500,4922
29600,4982
29700,4923
29800,4859
29900,4869
30000,4955
30100,4958
30200,5027
30300,4949
30400,4997
30500,4993
30600,5033
30700,5066
30800,5073
30900,5098
31000,5130
31100,5132
31200,5182
31300,5164
31400,5170
31500,5194
31600,5215
31700,5203
31800,5280
31900,5283
32000,5314
32100,5257
32200,5307
32300,5300
32400,5455
32500,5412
32600,5441
32700,5379
32800,5483
32900,5417
33000,5580
33100,5457
33200,5580
33300,5521
33400,5585
33500,5580
33600,5618
33700,5581
33800,5590
33900,5614
34000,5601
34100,5645
34200,5763
34300,5666
34400,5737
34500,5738
34600,5754
34700,5730
34800,5890
34900,5825
35000,5865
35100,5905
35200,5892
35300,5904
35400,5889
35500,5916
35600,5908
35700,5951
35800,5983
35900,6024
36000,5998
36100,6000
36200,6001
36300,6035
36400,6081
36500,6039
36600,6093
36700,6158
36800,6126
36900,6177
37000,6159
37100,6198
37200,6195
37300,6298
37400,6262
37500,6245
37600,6268
37700,6269
37800,6319
37900,6354
38000,6528
38100,6406
38200,6417
38300,6420
38400,6426
38500,6459
38600,6572
38700,6484
38800,6473
38900,6569
39000,6519
39100,6650
39200,6799
39300,6561
39400,6577
39500,6693
39600,6680
39700,9077
39800,6678
39900,6701
40000,6796
40100,6813
40200,6985
40300,6844
40400,6986
40500,6775
40600,6859
40700,6970
40800,7113
40900,6850
41000,7103
41100,6929
41200,7317
41300,7261
41400,7193
41500,7202
41600,6993
41700,6958
41800,7006
41900,7086
42000,7065
42100,7306
42200,6929
42300,7116
42400,7076
42500,7154
42600,7278
42700,7190
42800,7228
42900,7216
43000,7010
43100,7256
43200,7258
43300,7363
43400,7488
43500,7867
43600,7414
43700,7430
43800,7438
43900,7504
44000,7465
44100,7495
44200,7498
44300,7549
44400,7536
44500,7551
44600,7560
44700,7536
44800,7592
44900,7605
45000,7620
45100,7745
45200,7717
45300,7713
45400,7723
45500,7850
45600,7707
45700,7600
45800,7907
45900,7642
46000,7662
46100,11260
46200,8145
46300,7828
46400,7942
46500,7926
46600,7978
46700,8099
46800,8059
46900,8097
47000,7968
47100,7998
47200,8020
47300,7986
47400,8038
47500,8096
47600,8116
47700,8572
47800,8182
47900,8154
48000,8189
48100,8261
48200,8230
48300,8343
48400,8205
48500,10516
48600,8353
48700,8421
48800,8400
48900,8192
49000,8332
49100,8780
49200,8470
49300,8157
49400,8483
49500,8452
49600,8529
49700,8872
49800,8507
49900,8682
50000,8713
50100,8704
50200,8687
50300,8623
50400,8685
50500,8669
50600,8781
50700,8718
50800,8785
50900,8810
51000,8713
51100,8817
51200,9258
51300,8771
51400,8836
51500,9162
51600,8864
51700,8768
51800,8948
51900,9001
52000,9017
52100,9005
52200,9090
52300,9032
52400,9084
52500,9076
52600,9110
52700,8884
52800,9023
52900,9408
53000,9148
53100,9244
53200,9123
53300,9424
53400,9352
53500,9301
53600,9352
53700,9345
53800,9356
53900,9212
54000,9383
54100,9642
54200,9449
54300,9803
54400,10032
54500,9552
54600,9636
54700,10227
54800,9680
54900,9516
55000,9278
55100,9531
55200,9747
55300,9609
55400,9410
55500,9646
55600,9615
55700,9584
55800,14709
55900,9944
56000,12912
56100,10092
56200,9931
56300,9875
56400,9778
56500,9855
56600,9952
56700,10697
56800,9985
56900,9783
57000,11323
57100,10632
57200,9842
57300,10413
57400,10648
57500,10931
57600,10047
57700,9981
57800,9970
57900,9940
58000,9927
58100,10119
58200,10090
58300,10264
58400,10102
58500,10223
58600,10183
58700,9953
58800,10190
58900,10015
59000,11013
59100,10388
59200,10318
59300,10639
59400,10470
59500,10237
59600,10116
59700,10286
59800,10260
59900,10218
60000,10345
60100,10318
60200,10329
60300,10380
60400,10422
60500,10476
60600,10454
60700,10551
60800,10756
60900,10630
61000,10851
61100,10563
61200,10620
61300,10510
61400,10334
61500,10868
61600,10626
61700,10869
61800,10792
61900,11785
62000,10646
62100,11491
62200,10996
62300,10759
62400,10683
62500,10775
62600,10931
62700,10926
62800,10537
62900,10933
63000,10973
63100,10808
63200,10905
63300,10915
63400,10991
63500,10815
63600,10957
63700,11071
63800,10949
63900,11199
64000,11256
64100,11502
64200,11580
64300,11600
64400,11459
64500,11357
64600,11619
64700,14918
64800,11447
64900,11323
65000,11256
65100,11483
65200,11391
65300,11230
65400,11625
65500,11421
65600,11437
65700,11347
65800,11124
65900,11381
66000,11377
66100,11549
66200,11573
66300,11766
66400,11526
66500,11362
66600,11627
66700,11526
66800,11508
66900,11674
67000,11695
67100,11691
67200,11785
67300,11825
67400,11862
67500,11776
67600,11818
67700,11795
67800,11665
67900,11848
68000,11909
68100,11950
68200,11841
68300,11985
68400,11994
68500,11997
68600,12074
68700,11933
68800,12014
68900,12241
69000,11996
69100,12000
69200,12328
69300,12448
69400,23640
69500,12449
69600,12230
69700,12141
69800,12109
69900,12170
70000,12167
70100,12192
70200,12277
70300,12356
70400,12388
70500,12241
70600,12286
70700,12384
70800,12331
70900,12309
71000,12315
71100,12207
71200,13573
71300,13523
71400,16644
71500,12567
71600,12530
71700,12610
71800,13772
71900,12871
72000,12701
72100,12664
72200,13035
72300,12624
72400,12988
72500,12547
72600,12730
72700,12657
72800,12645
72900,12918
73000,12480
73100,12945
73200,13136
73300,12983
73400,13088
73500,13189
73600,13122
73700,12946
73800,12747
73900,12887
74000,13175
74100,13121
74200,15617
74300,12922
74400,13151
74500,12639
74600,13379
74700,12993
74800,13544
74900,15164
75000,13594
75100,13688
75200,20726
75300,13216
75400,13448
75500,13081
75600,13368
75700,13400
75800,13483
75900,13354
76000,13470
76100,13332
76200,14067
76300,13378
76400,13983
76500,13137
76600,15295
76700,13452
76800,13662
76900,14092
77000,13478
77100,14385
77200,14275
77300,21237
77400,13585
77500,13697
77600,13863
77700,13622
77800,14050
77900,13795
78000,13412
78100,14018
78200,13923
78300,13739
78400,14325
78500,13972
78600,14373
78700,13703
78800,13650
78900,14761
79000,14363
79100,14290
79200,13650
79300,14142
79400,13942
79500,13641
79600,13598
79700,14091
79800,13946
79900,14045
80000,14327
80100,13729
80200,14231
80300,14195
80400,13922
80500,14421
80600,14474
80700,14116
80800,14197
80900,14208
81000,14746
81100,14057
81200,14942
81300,14456
81400,13908
81500,14502
81600,14259
81700,14027
81800,14330
81900,14222
82000,14857
82100,14454
82200,14405
82300,14374
82400,14684
82500,14635
82600,14157
82700,14362
82800,14328
82900,14714
83000,14775
83100,14545
83200,14977
83300,14276
83400,15228
83500,14350
83600,14790
83700,14377
83800,14913
83900,14472
84000,14955
84100,14646
84200,14727
84300,14505
84400,14789
84500,15057
84600,14894
84700,15367
84800,14866
84900,15084
85000,14947
85100,15352
85200,14975
85300,14971
85400,15230
85500,14982
85600,16217
85700,16329
85800,16520
85900,15380
86000,15650
86100,15196
86200,15152
86300,15261
86400,16041
86500,15244
86600,15201
86700,16988
86800,15488
86900,15640
87000,16262
87100,15723
87200,15388
87300,15354
87400,15616
87500,15696
87600,15215
87700,17533
87800,15619
87900,15846
88000,17825
88100,15352
88200,15800
88300,16008
88400,16379
88500,15660
