n,time_us
500,33
600,39
700,47
800,58
900,66
1000,75
1100,80
1200,87
1300,99
1400,112
1500,121
1600,125
1700,138
1800,154
1900,153
2000,168
2100,167
2200,180
2300,187
2400,197
2500,187
2600,238
2700,211
2800,224
2900,240
3000,244
3100,245
3200,255
3300,281
3400,279
3500,274
3600,293
3700,302
3800,300
3900,312
4000,314
4100,354
4200,365
4300,359
4400,382
4500,367
4600,384
4700,413
4800,427
4900,424
5000,430
5100,435
5200,436
5300,475
5400,496
5500,520
5600,475
5700,493
5800,511
5900,511
6000,520
6100,534
6200,567
6300,546
6400,568
6500,575
6600,579
6700,582
6800,616
6900,608
7000,607
7100,645
7200,618
7300,640
7400,635
7500,666
7600,644
7700,705
7800,739
7900,686
8000,729
8100,726
8200,722
8300,723
8400,783
8500,777
8600,761
8700,775
8800,814
8900,835
9000,818
9100,809
9200,864
9300,864
9400,858
9500,918
9600,852
9700,880
9800,903
9900,895
10000,958
10100,898
10200,961
10300,935
10400,948
10500,1021
10600,990
10700,1025
10800,1048
10900,1017
11000,1015
11100,1028
11200,1042
11300,1078
11400,1097
11500,1147
11600,1139
11700,1136
11800,1083
11900,1170
12000,1105
12100,1146
12200,1137
12300,1182
12400,1138
12500,1199
12600,1217
12700,1196
12800,1288
12900,1222
13000,1257
13100,1220
13200,1288
13300,1294
13400,1259
13500,1315
13600,1308
13700,1292
13800,1399
13900,1338
14000,1307
14100,1413
14200,1370
14300,1404
14400,1343
14500,1451
14600,1441
14700,1405
14800,1398
14900,1434
15000,1454
15100,1437
15200,1424
15300,1535
15400,1522
15500,1487
15600,1468
15700,1433
15800,1573
15900,1459
16000,1543
16100,1537
16200,1579
16300,1559
16400,1592
16500,1514
16600,1682
16700,1648
16800,1578
16900,1644
17000,1662
17100,1644
17200,1648
17300,1657
17400,1677
17500,1716
17600,1662
17700,1746
17800,1691
17900,1750
18000,1708
18100,1721
18200,1708
18300,1913
18400,1831
18500,1793
18600,1859
18700,1738
18800,1814
18900,1845
19000,1963
19100,1850
19200,1866
19300,1871
19400,1912
19500,1834
19600,1894
19700,1906
19800,1857
19900,1860
20000,1943
20100,1906
20200,2776
20300,1959
20400,1989
20500,2027
20600,2061
20700,2019
20800,2030
20900,2044
21000,1962
21100,2020
21200,2151
21300,2090
21400,2032
21500,2135
21600,2142
21700,2197
21800,2085
21900,2235
22000,2221
22100,2213
22200,2117
22300,2110
22400,2251
22500,2153
22600,2287
22700,2297
22800,2368
22900,3979
23000,2281
23100,2273
23200,2297
23300,2238
23400,2319
23500,2414
23600,2394
23700,2302
23800,2522
23900,2416
24000,2306
24100,2349
24200,2443
24300,2444
24400,2378
24500,2447
24600,2360
24700,2415
24800,2426
24900,2527
25000,2451
25100,2465
25200,2516
25300,2539
25400,2641
25500,2525
25600,2583
25700,2615
25800,2611
25900,2552
26000,2720
26100,2986
26200,2668
26300,2680
26400,2725
26500,2753
26600,2749
26700,2868
26800,2636
26900,2854
27000,2644
27100,2725
27200,4082
27300,2651
27400,2873
27500,2709
27600,2815
27700,2709
27800,2662
27900,2841
28000,2696
28100,2940
28200,2774
28300,2874
28400,2783
28500,2852
28600,2835
28700,2744
28800,2811
28900,2819
29000,2916
29100,2788
29200,3072
29300,2864
29400,2950
29500,2998
29600,2843
29700,3014
29800,2858
29900,2862
30000,2894
30100,3076
30200,3093
30300,2911
30400,2951
30500,3042
30600,3144
30700,3038
30800,3110
30900,3160
31000,3181
31100,3173
31200,3257
31300,3085
31400,3208
31500,3146
31600,3041
31700,3112
31800,3394
31900,3258
32000,3178
32100,3321
32200,3265
32300,3284
32400,3325
32500,3388
32600,3351
32700,3322
32800,3213
32900,3215
33000,3321
33100,3232
33200,3325
33300,3292
33400,3413
33500,3423
33600,3481
33700,3362
33800,3412
33900,3482
34000,3428
34100,3390
34200,3536
34300,3513
34400,3350
34500,3561
34600,3443
34700,3435
34800,3656
34900,3552
35000,3624
35100,3563
35200,3506
35300,3469
35400,3625
35500,3535
35600,3564
35700,3677
35800,3671
35900,3864
36000,3653
36100,3630
36200,3712
36300,3587
36400,3655
36500,3617
36600,3739
36700,3758
36800,3784
36900,3752
37000,3807
37100,3755
37200,3811
37300,4050
37400,3960
37500,3797
37600,3767
37700,3795
37800,3712
37900,3929
38000,4068
38100,3955
38200,3883
38300,3992
38400,3903
38500,3861
38600,4075
38700,4031
38800,3931
38900,4005
39000,3951
39100,3795
39200,3979
39300,4081
39400,4015
39500,3905
39600,3949
39700,4351
39800,3993
39900,4158
40000,4158
40100,4261
40200,3991
40300,4297
40400,3970
40500,3963
40600,4219
40700,4243
40800,4176
40900,4008
41000,4198
41100,4096
41200,4379
41300,4197
41400,4257
41500,4754
41600,4270
41700,4154
41800,4388
41900,4269
42000,4624
42100,4294
42200,4375
42300,4409
42400,4261
42500,4290
42600,4469
42700,4363
42800,4394
42900,4333
43000,4182
43100,4212
43200,4445
43300,4324
43400,4355
43500,4793
43600,4603
43700,4528
43800,4546
43900,4592
44000,4616
44100,4534
44200,4543
44300,4569
44400,4484
44500,4645
44600,4594
44700,4660
44800,4575
44900,4495
45000,4600
45100,4728
45200,4459
45300,4624
45400,4851
45500,4626
45600,4698
45700,4558
45800,4781
45900,5027
46000,4727
46100,4974
46200,5003
46300,4656
46400,4773
46500,4770
46600,4835
46700,4967
46800,5117
46900,4823
47000,4847
47100,4919
47200,4664
47300,4723
47400,4971
47500,4847
47600,4777
47700,5385
47800,4859
47900,4813
48000,4887
48100,4724
48200,5026
48300,5275
48400,4775
48500,5049
48600,4928
48700,5321
48800,4951
48900,5366
49000,5141
49100,5150
49200,5019
49300,5018
49400,5139
49500,5388
49600,5175
49700,5448
49800,5460
49900,5130
50000,5453
50100,4992
50200,5483
50300,5286
50400,5323
50500,5297
50600,5297
50700,5294
50800,5136
50900,5235
51000,5182
51100,5348
51200,5618
51300,5182
51400,5269
51500,5328
51600,5280
51700,5220
51800,5230
51900,5434
52000,5400
52100,5518
52200,5432
52300,5450
52400,5723
52500,5525
52600,5529
52700,5788
52800,5344
52900,5666
53000,5614
53100,5528
53200,5319
53300,5652
53400,5603
53500,5451
53600,5772
53700,5566
53800,5934
53900,6036
54000,5475
54100,5561
54200,5747
54300,6523
54400,5656
54500,5852
54600,5653
54700,7022
54800,6173
54900,6080
55000,5762
55100,5769
55200,5862
55300,5481
55400,5781
55500,5624
55600,6136
55700,6140
55800,8262
55900,6192
56000,6539
56100,6301
56200,5939
56300,6215
56400,5631
56500,6104
56600,5984
56700,6244
56800,6098
56900,5985
57000,6295
57100,7136
57200,5926
57300,5942
57400,7134
57500,7124
57600,5963
57700,6049
57800,5873
57900,6055
58000,5953
58100,5957
58200,5806
58300,6075
58400,6078
58500,6499
58600,5862
58700,5942
58800,6261
58900,6095
59000,6928
59100,6198
59200,8243
59300,6549
59400,6423
59500,6336
59600,6286
59700,6217
59800,6219
59900,6598
60000,6200
60100,6406
60200,6147
60300,6007
60400,6288
60500,6328
60600,6011
60700,6427
60800,6362
60900,6523
61000,6709
61100,6271
61200,6420
61300,6416
61400,6320
61500,6338
61600,6591
61700,6717
61800,6775
61900,6792
62000,6319
62100,6406
62200,6323
62300,6717
62400,6565
62500,6636
62600,7029
62700,6506
62800,6493
62900,7074
63000,6382
63100,6505
63200,6545
63300,6595
63400,6602
63500,6539
63600,6551
63700,6829
63800,6746
63900,6689
64000,6830
64100,10317
64200,6991
64300,6742
64400,7146
64500,7069
64600,7449
64700,6879
64800,7232
64900,7213
65000,6746
65100,7066
65200,7297
65300,6973
65400,7264
65500,6843
65600,6781
65700,6844
65800,6819
65900,6938
66000,6920
66100,6748
66200,6883
66300,7201
66400,6743
66500,7149
66600,7094
66700,7062
66800,6929
66900,6803
67000,6903
67100,6803
67200,7206
67300,7235
67400,7268
67500,7086
67600,6996
67700,6970
67800,7036
67900,7096
68000,7152
68100,7193
68200,7214
68300,7340
68400,7044
68500,7304
68600,7384
68700,7266
68800,7106
68900,7419
69000,7372
69100,7130
69200,7547
69300,7817
69400,7736
69500,7454
69600,7332
69700,7464
69800,7325
69900,7348
70000,7351
70100,7125
70200,7305
70300,7627
70400,7622
70500,7230
70600,7257
70700,7357
70800,7548
70900,7575
71000,7388
71100,7196
71200,8387
71300,7515
71400,7410
71500,7739
71600,7879
71700,7889
71800,7944
71900,7505
72000,7655
72100,7547
72200,7849
72300,7750
72400,8024
72500,7540
72600,7935
72700,7574
72800,7709
72900,7732
73000,7818
73100,7822
73200,7826
73300,7667
73400,7718
73500,8607
73600,7738
73700,7584
73800,7839
73900,7747
74000,8102
74100,7633
74200,8180
74300,7757
74400,7613
74500,7640
74600,7859
74700,7867
74800,8288
74900,8547
75000,8359
75100,8160
75200,8560
75300,7908
75400,7888
75500,8065
75600,7759
75700,8282
75800,8004
75900,7829
76000,7905
76100,8364
76200,8283
76300,7985
76400,8166
76500,8119
76600,9023
76700,8326
76800,8006
76900,8501
77000,8376
77100,8588
77200,8642
77300,16461
77400,8298
77500,8358
77600,8073
77700,8534
77800,8384
77900,8687
78000,8201
78100,8867
78200,8446
78300,7998
78400,8448
78500,8434
78600,9071
78700,8080
78800,8184
78900,8916
79000,8537
79100,8776
79200,8369
79300,8767
79400,8804
79500,8527
79600,8031
79700,8595
79800,8272
79900,8155
80000,8689
80100,8529
80200,8561
80300,8288
80400,8127
80500,8302
80600,9290
80700,8465
80800,8322
80900,8732
81000,8344
81100,8576
81200,9043
81300,8541
81400,8738
81500,8431
81600,8594
81700,8626
81800,8624
81900,8710
82000,8669
82100,8561
82200,9151
82300,9055
82400,8470
82500,8561
82600,8242
82700,8884
82800,8502
82900,9027
83000,8809
83100,8588
83200,9081
83300,8471
83400,8928
83500,8739
83600,8835
83700,8420
83800,8890
83900,8594
84000,9240
84100,8598
84200,8602
84300,9072
84400,8793
84500,8696
84600,9434
84700,9373
84800,9011
84900,9437
85000,8726
85100,9230
85200,9031
85300,10020
85400,9128
85500,9468
85600,9925
85700,9794
85800,13267
85900,9278
86000,9719
86100,8937
86200,9315
86300,8870
86400,9160
86500,9223
86600,8963
86700,10226
86800,9959
86900,9350
87000,9771
87100,9185
87200,9146
87300,9415
87400,9396
87500,11386
87600,9516
87700,9217
87800,9787
87900,9766
88000,9410
88100,8971
88200,9234
88300,10272
88400,9564
88500,9666
88600,9436
88700,9382
88800,9701
88900,9595
89000,9340
89100,9263
89200,9654
89300,9408
89400,9903
89500,9718
89600,9901
89700,9116
89800,9805
89900,9386
90000,9519
90100,9407
90200,9874
90300,9318
90400,9751
90500,9525
90600,12292
90700,10048
90800,9526
90900,9941
91000,9751
91100,9913
91200,10046
91300,9698
91400,9994
91500,9995
91600,9461
91700,9772
91800,9641
91900,10052
92000,9661
92100,9810
92200,9648
92300,9642
92400,9644
92500,9596
92600,9712
92700,9783
92800,10160
92900,9961
93000,9771
93100,10447
93200,10181
93300,10325
93400,10276
93500,10463
93600,10940
93700,10371
93800,10008
93900,10140
94000,10361
94100,9787
94200,9905
94300,9923
94400,10271
94500,10733
94600,10449
94700,10244
94800,9912
94900,10500
95000,9911
95100,10104
95200,12035
95300,10388
95400,10173
95500,10124
95600,10358
95700,10431
95800,10638
95900,9725
96000,9919
96100,9790
96200,9803
96300,10147
96400,10269
96500,10113
96600,10419
96700,10340
96800,9868
96900,9901
97000,10004
97100,10303
97200,9871
97300,10253
97400,10007
97500,10252
97600,10877
97700,10573
97800,10014
97900,10131
98000,10261
98100,10332
98200,10772
98300,10386
98400,10615
98500,10389
98600,10330
98700,10334
98800,10337
98900,10339
99000,10256
99100,10354
99200,10627
99300,10432
99400,10418
99500,10289
99600,11138
99700,10845
99800,10380
99900,10409
100000,10501
